"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","should reject table without required fields","Schema Validation Tests","2026-05-04","passed","2026-05-04","","Table Schema Validation","",""
"","4","should create document successfully","DocumentClient","2026-05-04","passed","2026-05-04","","Document Operations","",""
"","1","should respect pagination","New Database Methods","2026-05-04","passed","2026-05-04","","searchDocuments","",""
"","2","should validate complete PDF styling","Schema Validation Tests","2026-05-04","passed","2026-05-04","","PDF Styling Schema Validation","",""
"","1","should delete section without throwing","DocumentClient Simple Tests","2026-05-04","passed","2026-05-04","","Basic Functionality Tests","",""
"","1","should check if key exists","CacheManager","2026-05-04","passed","2026-05-04","","Basic Operations","",""
"","1","should update document without throwing","DocumentClient Simple Tests","2026-05-04","passed","2026-05-04","","Basic Functionality Tests","",""
"","1103","should use default TTL when not specified","CacheManager","2026-05-04","passed","2026-05-04","","TTL (Time To Live)","",""
"","1","should list documents without throwing","DocumentClient Simple Tests","2026-05-04","passed","2026-05-04","","Basic Functionality Tests","",""
"","1","should handle JSON parsing errors","DocumentClient","2026-05-04","passed","2026-05-04","","Error Handling","",""
"","1","should reject invalid chart type","Schema Validation Tests","2026-05-04","passed","2026-05-04","","Chart Schema Validation","",""
"","7","should validate a complete paragraph object","Schema Validation Tests","2026-05-04","passed","2026-05-04","","Paragraph Schema Validation","",""
"","1","should validate complete document layout","Schema Validation Tests","2026-05-04","passed","2026-05-04","","Document Layout Schema Validation","",""
"","1","should return cache statistics","BuildCacheManager","2026-05-04","passed","2026-05-04","","Statistics","",""
"","1","should handle network errors","DocumentClient","2026-05-04","passed","2026-05-04","","Error Handling","",""
"","15","should set and get value","CacheManager","2026-05-04","passed","2026-05-04","","Basic Operations","",""
"","2","should clear all entries","CacheManager","2026-05-04","passed","2026-05-04","","Basic Operations","",""
"","4","should handle pagination parameter validation","API Integration Tests (No Database)","2026-05-04","passed","2026-05-04","","Parameter Validation","",""
"","2","should evict oldest entry when max size exceeded","CacheManager","2026-05-04","passed","2026-05-04","","Size Management","",""
"","2","should create multiple sections at once","New Database Methods","2026-05-04","passed","2026-05-04","","bulkCreateSections","",""
"","1","should validate a complete table object","Schema Validation Tests","2026-05-04","passed","2026-05-04","","Table Schema Validation","",""
"","1","should handle very large TTL values","CacheManager","2026-05-04","passed","2026-05-04","","Edge Cases","",""
"","1","should reorder sections without throwing","DocumentClient Simple Tests","2026-05-04","passed","2026-05-04","","Basic Functionality Tests","",""
"","1","should reject invalid text alignment","Schema Validation Tests","2026-05-04","passed","2026-05-04","","Paragraph Schema Validation","",""
"","3","should handle document ID parameter validation","API Integration Tests (No Database)","2026-05-04","passed","2026-05-04","","Parameter Validation","",""
"","1","should reject document layout without required fields","Schema Validation Tests","2026-05-04","passed","2026-05-04","","Document Layout Schema Validation","",""
"","1","should get section without throwing","DocumentClient Simple Tests","2026-05-04","passed","2026-05-04","","Basic Functionality Tests","",""
"","1","should add section data without throwing","DocumentClient Simple Tests","2026-05-04","passed","2026-05-04","","Basic Functionality Tests","",""
"","12","should handle malformed JSON","API Integration Tests (No Database)","2026-05-04","passed","2026-05-04","","API Structure Verification","",""
"","8","should have valid JSON syntax in all schema files","Schema Validation Tests","2026-05-04","passed","2026-05-04","","Schema File Integrity","",""
"","2","should reject invalid image alignment","Schema Validation Tests","2026-05-04","passed","2026-05-04","","Image Schema Validation","",""
"","3","should reject document generation with invalid format","API Integration Tests (No Database)","2026-05-04","passed","2026-05-04","","Document Generation Endpoint","",""
"","3","should reject schema validation without schema","API Integration Tests (No Database)","2026-05-04","passed","2026-05-04","","Schema Validation Endpoint","",""
"","2","should get document sections","DocumentClient","2026-05-04","passed","2026-05-04","","Section Operations","",""
"","3","should reject section creation with invalid sectionType","API Integration Tests (No Database)","2026-05-04","passed","2026-05-04","","Request Validation","",""
"","1","should handle empty string keys","CacheManager","2026-05-04","passed","2026-05-04","","Edge Cases","",""
"","6","should return null for non-existent build result","BuildCacheManager","2026-05-04","passed","2026-05-04","","Build Operations","",""
"","3","should have proper schema version in all files","Schema Validation Tests","2026-05-04","passed","2026-05-04","","Schema File Integrity","",""
"","2","should generate PDF document","DocumentClient","2026-05-04","passed","2026-05-04","","Document Generation","",""
"","1","should get schema templates without throwing","DocumentClient Simple Tests","2026-05-04","passed","2026-05-04","","Basic Functionality Tests","",""
"","2","should create document without throwing","DocumentClient Simple Tests","2026-05-04","passed","2026-05-04","","Basic Functionality Tests","",""
"","3","should return 404 for non-existent document","New Controller Methods","2026-05-04","passed","2026-05-04","","duplicateDocument","",""
"","6","should maintain consistent response format","API Integration Tests (No Database)","2026-05-04","passed","2026-05-04","","Error Handling","",""
"","3","should handle schema validation with valid document schema","API Integration Tests (No Database)","2026-05-04","passed","2026-05-04","","Schema Validation Endpoint","",""
"","1","should set and get build results","BuildCacheManager","2026-05-04","passed","2026-05-04","","Build Operations","",""
"","1","should validate schema successfully","DocumentClient","2026-05-04","passed","2026-05-04","","Schema Validation","",""
"","1","should reject image without required fields","Schema Validation Tests","2026-05-04","passed","2026-05-04","","Image Schema Validation","",""
"","1","should get document without throwing","DocumentClient Simple Tests","2026-05-04","passed","2026-05-04","","Basic Functionality Tests","",""
"","1","should handle undefined custom headers","DocumentClient","2026-05-04","passed","2026-05-04","","Header Management","",""
"","1","should validate complete Word styling","Schema Validation Tests","2026-05-04","passed","2026-05-04","","Word Styling Schema Validation","",""
"","4","should reject section creation without documentId","API Integration Tests (No Database)","2026-05-04","passed","2026-05-04","","Request Validation","",""
"","1","should duplicate section without throwing","DocumentClient Simple Tests","2026-05-04","passed","2026-05-04","","Basic Functionality Tests","",""
"","14","should validate a complete chart object","Schema Validation Tests","2026-05-04","passed","2026-05-04","","Chart Schema Validation","",""
"","62","should expire entries after TTL","CacheManager","2026-05-04","passed","2026-05-04","","TTL (Time To Live)","",""
"","7","should get document by ID","DocumentClient","2026-05-04","passed","2026-05-04","","Document Operations","",""
"","8","should reject document creation without required fields","API Integration Tests (No Database)","2026-05-04","passed","2026-05-04","","Request Validation","",""
"","1","should handle missing error response","DocumentClient","2026-05-04","passed","2026-05-04","","Error Handling","",""
"","1","should handle generation with custom options","DocumentClient","2026-05-04","passed","2026-05-04","","Document Generation","",""
"","1","should reject invalid font weight range","Schema Validation Tests","2026-05-04","passed","2026-05-04","","Word Styling Schema Validation","",""
"","2","should handle null and undefined values","CacheManager","2026-05-04","passed","2026-05-04","","Edge Cases","",""
"","1","should use default name if none provided","New Database Methods","2026-05-04","passed","2026-05-04","","duplicateDocument","",""
"","2","should duplicate a section successfully","New Controller Methods","2026-05-04","passed","2026-05-04","","duplicateSection","",""
"","1","should reject invalid section type","Schema Validation Tests","2026-05-04","passed","2026-05-04","","Document Layout Schema Validation","",""
"","1","should return null for non-existent key","CacheManager","2026-05-04","passed","2026-05-04","","Basic Operations","",""
"","3","should create multiple sections successfully","New Controller Methods","2026-05-04","passed","2026-05-04","","bulkCreateSections","",""
"","2","should create section successfully","DocumentClient","2026-05-04","passed","2026-05-04","","Section Operations","",""
"","3","should handle document generation request structure","API Integration Tests (No Database)","2026-05-04","passed","2026-05-04","","Document Generation Endpoint","",""
"","2","should return correct size","CacheManager","2026-05-04","passed","2026-05-04","","Size Management","",""
"","1","should reject header/footer without required fields","Schema Validation Tests","2026-05-04","passed","2026-05-04","","Header/Footer Schema Validation","",""
"","2","should search documents by type","New Database Methods","2026-05-04","passed","2026-05-04","","searchDocuments","",""
"","0","should reject invalid page size","Schema Validation Tests","2026-05-04","passed","2026-05-04","","Document Layout Schema Validation","",""
"","3","should include CORS headers","API Integration Tests (No Database)","2026-05-04","passed","2026-05-04","","API Structure Verification","",""
"","1","should delete document","DocumentClient","2026-05-04","passed","2026-05-04","","Document Operations","",""
"","3","should have all additional operations methods","DocumentClient Simple Tests","2026-05-04","passed","2026-05-04","","Method Existence Tests","",""
"","7","should list generated documents without throwing","DocumentClient Simple Tests","2026-05-04","passed","2026-05-04","","Basic Functionality Tests","",""
"","1","should return null for non-existent document","New Database Methods","2026-05-04","passed","2026-05-04","","duplicateDocument","",""
"","3","should duplicate a section within the same document","New Database Methods","2026-05-04","passed","2026-05-04","","duplicateSection","",""
"","0","should reject invalid text alignment","Schema Validation Tests","2026-05-04","passed","2026-05-04","","Word Styling Schema Validation","",""
"","2","should reorder sections successfully","New Controller Methods","2026-05-04","passed","2026-05-04","","reorderSections","",""
"","13","should list documents with pagination","DocumentClient","2026-05-04","passed","2026-05-04","","Document Operations","",""
"","1","should generate document without throwing","DocumentClient Simple Tests","2026-05-04","passed","2026-05-04","","Basic Functionality Tests","",""
"","1","should handle document creation error","DocumentClient","2026-05-04","passed","2026-05-04","","Document Operations","",""
"","1","should return null for non-existent section","New Database Methods","2026-05-04","passed","2026-05-04","","duplicateSection","",""
"","1","should return false when deleting non-existent key","CacheManager","2026-05-04","passed","2026-05-04","","Basic Operations","",""
"","2","should generate Word document","DocumentClient","2026-05-04","passed","2026-05-04","","Document Generation","",""
"","7","should update document","DocumentClient","2026-05-04","passed","2026-05-04","","Document Operations","",""
"","2","should include custom headers","DocumentClient","2026-05-04","passed","2026-05-04","","Header Management","",""
"","1","should delete document without throwing","DocumentClient Simple Tests","2026-05-04","passed","2026-05-04","","Basic Functionality Tests","",""
"","2","should return 400 for missing query","New Controller Methods","2026-05-04","passed","2026-05-04","","searchDocuments","",""
"","3","should have all schema and generation methods","DocumentClient Simple Tests","2026-05-04","passed","2026-05-04","","Method Existence Tests","",""
"","2","should search documents successfully","New Controller Methods","2026-05-04","passed","2026-05-04","","searchDocuments","",""
"","1","should update section without throwing","DocumentClient Simple Tests","2026-05-04","passed","2026-05-04","","Basic Functionality Tests","",""
"","2","should create section without throwing","DocumentClient Simple Tests","2026-05-04","passed","2026-05-04","","Basic Functionality Tests","",""
"","1","should duplicate document without throwing","DocumentClient Simple Tests","2026-05-04","passed","2026-05-04","","Basic Functionality Tests","",""
"","2","should clear build cache","BuildCacheManager","2026-05-04","passed","2026-05-04","","Build Operations","",""
"","1","should duplicate a section to a different document","New Database Methods","2026-05-04","passed","2026-05-04","","duplicateSection","",""
"","1","should get health status without throwing","DocumentClient Simple Tests","2026-05-04","passed","2026-05-04","","Basic Functionality Tests","",""
"","3","should reject document generation without format","API Integration Tests (No Database)","2026-05-04","passed","2026-05-04","","Document Generation Endpoint","",""
"","2","should return 400 for missing document ID","New Controller Methods","2026-05-04","passed","2026-05-04","","duplicateDocument","",""
"","32","should have all document operations methods","DocumentClient Simple Tests","2026-05-04","passed","2026-05-04","","Method Existence Tests","",""
"","1","should reject invalid font weight","Schema Validation Tests","2026-05-04","passed","2026-05-04","","PDF Styling Schema Validation","",""
"","2","should handle requests successfully with mock database","API Integration Tests (No Database)","2026-05-04","passed","2026-05-04","","Error Handling","",""
"","17","should have health endpoint","API Integration Tests (No Database)","2026-05-04","passed","2026-05-04","","API Structure Verification","",""
"","2","should get storage stats without throwing","DocumentClient Simple Tests","2026-05-04","passed","2026-05-04","","Basic Functionality Tests","",""
"","2","should update section data successfully","New Controller Methods","2026-05-04","passed","2026-05-04","","updateSectionData","",""
"","1","should initialize with base URL only","DocumentClient","2026-05-04","passed","2026-05-04","","Initialization","",""
"","4","should reject document creation with invalid type","API Integration Tests (No Database)","2026-05-04","passed","2026-05-04","","Request Validation","",""
